;pid;max.revlevel;dead.count;year.contributors;year.commits;month.contributors;month.commits;year.contributors.change;year.commits.change;comments
292;318015;5;11;;;;;;;
72;4875;4;10;;;;;;;
351;6491;6;10;1;592;1;23;0;0,94;
200;7198;5;10;;;;;;;
89;9904;4;10;;;;;;;
218;10782;5;10;;;;;;;
232;14886;5;10;1;96;1;25;0;-0,43;
236;15549;5;10;3;33;0;0;0;-0,65;
427;16423;7;10;3;67;1;2;0;-0,67;
107;16493;4;10;;;;;;;
392;17088;6;10;4;1031;4;303;0,33;2,13;
256;27656;5;10;;;;;;;
259;28868;5;10;2;748;2;30;0;-0,3;
284;149338;5;10;32;2362;14;243;0,77;0,56;
417;149338;6;10;32;2362;14;243;0,77;0,56;
160;381685;4;10;;;;;;;
168;155;5;9;3;12;0;0;0;-0,33;
59;3366;4;9;;;;;;;
64;3923;4;9;;;;;;;
180;3927;5;9;10;17;2;2;-0,58;-0,48;
182;4059;5;9;;;;;;;
337;4590;6;9;;;;;;;
7;5385;3;9;;;;;;;
203;7858;5;9;11;1261;3;76;-0,26;0,52;
84;8615;4;9;;;;;;;
210;8687;5;9;1;2;0;0;-0,66;-0,96;
215;10372;5;9;;;;;;;
220;11082;5;9;;;;;;;
101;15403;4;9;;;;;;;
386;16025;6;9;;;;;;;
241;16493;5;9;;;;;;;
254;26779;5;9;;;;;;;
264;34435;5;9;11;1326;4;138;0,37;0,4;
411;43572;6;9;;;;;;;
3;3402;3;8;;;;;;;
328;3927;6;8;;;;;;;
338;4673;6;8;36;1120;5;91;-0,2;0,32;
357;7858;6;8;;;;;;;
384;15549;6;8;;;;;;;
106;16423;4;8;;;;;;;
25;19596;3;8;;;;;;;
245;19596;5;8;;;;;;;
33;34435;3;8;;;;;;;
51;350866;3;8;;;;;;;
163;487094;4;8;NA;NA;NA;NA;NA;NA;Repository moved.
321;3187;6;7;2;539;2;32;0;0,25;
4;4325;3;7;;;;;;;
334;4361;6;7;130;8687;59;952;-0,03;0,13;
336;4445;6;7;;;;;;;
70;4733;4;7;;;;;;;
190;4875;5;7;;;;;;;
74;5561;4;7;;;;;;;
197;6491;5;7;;;;;;;
79;7198;4;7;;;;;;;
360;8630;6;7;4;262;2;31;0;-0,27;
14;8713;3;7;;;;;;;
93;11261;4;7;;;;;;;
223;11261;5;7;;;;;;;
18;11992;3;7;;;;;;;
389;16423;6;7;;;;;;;
117;25528;4;7;;;;;;;
253;25676;5;7;;;;;;;
27;25972;3;7;2;27;0;0;-0,33;-0,95;
255;27049;5;7;3;372;1;58;0;3,42;
399;27332;6;7;4;209;3;33;0;0,19;
129;34455;4;7;;;;;;;
34;37487;3;7;;;;;;;
35;46370;3;7;;;;;;;
280;116294;5;7;2;69;1;1;-0,33;-0,5;
416;139581;6;7;7;1562;6;142;1,33;0,16;
296;342504;5;7;6;498;4;51;1;0,44;
159;373943;4;7;;;;;;;
53;377597;3;7;1;85;1;7;-0,75;-0,04;
2;3366;3;6;;;;;;;
6;5147;3;6;;;;;;;
196;6056;5;6;18;1550;5;68;-0,1;-0,28;
350;6368;6;6;1;175;0;0;-0,5;-0,65;
90;10022;4;6;;;;;;;
216;10505;5;6;;;;;;;
145;264758;4;6;;;;;;;
257;28127;5;5;2;1634;2;103;-0,33;2,56;
31;30763;3;5;;;;;;;
150;327153;4;5;7;119;2;16;NA;NA;
65;4021;4;4;;;;;;;
8;5561;3;4;;;;;;;
12;6869;3;4;;;;;;;
204;7903;5;4;31;1897;16;188;0,06;0,37;
227;13044;5;4;;;;;;;
231;14564;5;4;;;;;;;
115;22716;4;4;;;;;;;
249;22716;5;4;;;;;;;
119;27049;4;4;;;;;;;
120;28127;4;4;;;;;;;
128;34435;4;4;;;;;;;
268;40548;5;4;;;;;;;
269;46139;5;4;;;;;;;
278;83356;5;4;;;;;;;
45;308924;3;4;;;;;;;
298;347925;5;4;2;110;1;1;-0,33;-0,69;
49;348235;3;4;;;;;;;
162;408980;4;4;;;;;;;
1;3352;3;3;;;;;;;
333;4359;6;3;;;;;;;
340;4867;6;3;;;;;;;
85;8630;4;3;;;;;;;
209;8630;5;3;;;;;;;
380;13079;6;3;;;;;;;
98;14564;4;3;;;;;;;
26;19893;3;3;;;;;;;
29;28127;3;3;;;;;;;
142;132021;4;3;;;;;;;
47;339052;3;3;;;;;;;
152;339127;4;3;3;227;3;15;0;-0,26;
307;428793;5;3;3;1360;3;224;0;0,55;
9;5888;3;2;;;;;;;
19;13044;3;2;;;;;;;
24;16055;3;2;19;204;0;0;-0,05;-0,4;
240;16423;5;2;;;;;;;
108;17088;4;2;;;;;;;
131;40548;4;2;;;;;;;
38;71024;3;2;;;;;;;
40;116294;3;2;;;;;;;
283;139581;5;2;;;;;;;
43;292974;3;2;;;;;;;
294;342092;5;2;23;1755;4;15;-0,28;0,29;
295;342423;5;2;3;92;1;5;0,5;-0,36;
155;350148;4;2;;;;;;;
301;350148;5;2;;;;;;;
55;408980;3;2;;;;;;;
314;433;6;1;2;92;1;6;-0,33;-0,64;
63;3584;4;1;;;;;;;
23;15549;3;1;;;;;;;
102;15549;4;1;;;;;;;
104;16234;4;1;;;;;;;
122;28868;4;1;;;;;;;
287;301544;5;1;4;481;3;45;0;0,57;
153;342423;4;1;;;;;;;
48;342504;3;1;;;;;;;
424;488862;6;1;110;2445;31;146;-0,07;-0,36;
