"";"time";"var";"coef";"pid";"pid.revlevel";"pid.startseq";"length";"count";"issub"
"25";"Age.Months";"LOC";"V";"4740";"6";"27";"4";"5";"0"
"26";"Age.Months";"LOC";"V";"4740";"6";"6";"5";"48";"0.5"
"27";"Age.Months";"LOC";"V";"4740";"6";"6";"6";"18";"0"
"28";"Age.Months";"LOC";"V";"4740";"6";"15";"5";"59";"0.5"
"29";"Age.Months";"LOC";"V";"4740";"6";"17";"4";"126";"0"
"30";"Age.Months";"LOC";"V";"4740";"6";"14";"4";"142";"0.5"
"31";"Age.Months";"LOC";"V";"4740";"6";"5";"6";"7";"0"
"32";"Age.Months";"LOC";"V";"4740";"6";"14";"5";"33";"0.5"
"33";"Age.Months";"LOC";"V";"4740";"6";"20";"4";"17";"0"
"34";"Age.Months";"LOC";"V";"4740";"6";"22";"5";"5";"0"
"35";"Age.Months";"LOC";"V";"4740";"6";"16";"5";"31";"0"
"36";"Age.Months";"LOC";"V";"4740";"6";"12";"4";"25";"0"
"37";"Age.Months";"LOC";"V";"4740";"6";"4";"5";"44";"0.5"
"38";"Age.Months";"LOC";"V";"4740";"6";"21";"5";"35";"0"
"39";"Age.Months";"LOC";"V";"4740";"6";"23";"4";"12";"0"
"40";"Age.Months";"LOC";"V";"4740";"6";"3";"4";"30";"0"
"41";"Age.Months";"LOC";"V";"4740";"6";"13";"5";"21";"0.5"
"42";"Age.Months";"LOC";"V";"4740";"6";"13";"6";"8";"0"
"43";"Age.Months";"LOC";"V";"4740";"6";"15";"6";"5";"0"
"44";"Age.Months";"LOC";"V";"4740";"6";"14";"6";"8";"0"
"45";"Age.Months";"LOC";"V";"4740";"6";"4";"6";"13";"0.5"
"46";"Age.Months";"LOC";"V";"4740";"6";"4";"7";"4";"0"
"47";"Age.Months";"LOC";"V";"4740";"6";"24";"4";"8";"0"
"48";"Age.Months";"LOC";"V";"4740";"6";"7";"6";"6";"0"
"49";"Age.Months";"LOC";"V";"585077";"3";"2";"4";"56";"0.5"
"50";"Age.Months";"LOC";"V";"585077";"3";"2";"5";"44";"0.1"
"51";"Age.Months";"LOC";"V";"585077";"4";"4";"4";"56";"0.5"
"52";"Age.Months";"LOC";"V";"585077";"4";"4";"5";"44";"0.5"
"53";"Age.Months";"LOC";"V";"585077";"4";"4";"6";"30";"0.5"
"54";"Age.Months";"LOC";"V";"585077";"4";"4";"7";"20";"0.5"
"55";"Age.Months";"LOC";"V";"585077";"4";"4";"8";"12";"1"
"56";"Age.Months";"LOC";"V";"585077";"4";"4";"9";"12";"0"
"57";"Age.Months";"LOC";"V";"3429";"3";"3";"4";"13";"0"
"58";"Age.Months";"LOC";"V";"3429";"4";"9";"4";"258";"0"
"59";"Age.Months";"LOC";"V";"3429";"4";"8";"4";"57";"0.5"
"60";"Age.Months";"LOC";"V";"3429";"4";"8";"5";"15";"0"
"61";"Age.Months";"LOC";"V";"3429";"4";"7";"4";"6";"0"
"62";"Age.Months";"LOC";"V";"3429";"4";"5";"4";"4";"0"
"63";"Age.Months";"LOC";"V";"3429";"5";"19";"4";"418";"0.5"
"64";"Age.Months";"LOC";"V";"3429";"5";"19";"5";"165";"0.5"
"65";"Age.Months";"LOC";"V";"3429";"5";"20";"4";"1070";"0.5"
"66";"Age.Months";"LOC";"V";"3429";"5";"20";"5";"577";"0.5"
"67";"Age.Months";"LOC";"V";"3429";"5";"21";"4";"1250";"0.5"
"68";"Age.Months";"LOC";"V";"3429";"5";"18";"4";"123";"0.5"
"69";"Age.Months";"LOC";"V";"3429";"5";"19";"6";"77";"0.5"
"70";"Age.Months";"LOC";"V";"3429";"5";"19";"7";"46";"0"
"71";"Age.Months";"LOC";"V";"3429";"5";"20";"6";"375";"0.5"
"72";"Age.Months";"LOC";"V";"3429";"5";"21";"5";"705";"0.5"
"73";"Age.Months";"LOC";"V";"3429";"5";"22";"4";"1424";"0.5"
"74";"Age.Months";"LOC";"V";"3429";"5";"2";"4";"5";"0"
"75";"Age.Months";"LOC";"V";"3429";"5";"18";"5";"38";"0.5"
"76";"Age.Months";"LOC";"V";"3429";"5";"9";"4";"15";"0"
"77";"Age.Months";"LOC";"V";"3429";"5";"18";"6";"10";"0.5"
"78";"Age.Months";"LOC";"V";"3429";"5";"18";"7";"6";"0"
"79";"Age.Months";"LOC";"V";"3429";"6";"43";"4";"1189";"0.5"
"80";"Age.Months";"LOC";"V";"3429";"6";"46";"4";"1490";"0.5"
"81";"Age.Months";"LOC";"V";"3429";"6";"22";"4";"168";"1"
"82";"Age.Months";"LOC";"V";"3429";"6";"38";"4";"293";"0.5"
"83";"Age.Months";"LOC";"V";"3429";"6";"38";"5";"113";"0.5"
"84";"Age.Months";"LOC";"V";"3429";"6";"38";"6";"55";"0.5"
"85";"Age.Months";"LOC";"V";"3429";"6";"39";"4";"608";"0.5"
"86";"Age.Months";"LOC";"V";"3429";"6";"39";"5";"271";"0.5"
"87";"Age.Months";"LOC";"V";"3429";"6";"39";"6";"138";"0.5"
"88";"Age.Months";"LOC";"V";"3429";"6";"40";"4";"590";"0.5"
"89";"Age.Months";"LOC";"V";"3429";"6";"41";"4";"1110";"0.5"
"90";"Age.Months";"LOC";"V";"3429";"6";"41";"5";"613";"0.5"
"91";"Age.Months";"LOC";"V";"3429";"6";"41";"6";"409";"0.5"
"92";"Age.Months";"LOC";"V";"3429";"6";"42";"4";"1076";"0.5"
"93";"Age.Months";"LOC";"V";"3429";"6";"42";"5";"639";"0.5"
"94";"Age.Months";"LOC";"V";"3429";"6";"43";"5";"693";"0.5"
"95";"Age.Months";"LOC";"V";"3429";"6";"43";"6";"470";"0.5"
"96";"Age.Months";"LOC";"V";"3429";"6";"43";"7";"314";"0.5"
"97";"Age.Months";"LOC";"V";"3429";"6";"45";"4";"1416";"0.5"
"98";"Age.Months";"LOC";"V";"3429";"6";"45";"5";"818";"0.5"
"99";"Age.Months";"LOC";"V";"3429";"6";"45";"6";"558";"0.5"
"100";"Age.Months";"LOC";"V";"3429";"6";"45";"7";"381";"0.5"
"101";"Age.Months";"LOC";"V";"3429";"6";"46";"5";"828";"0.5"
"102";"Age.Months";"LOC";"V";"3429";"6";"46";"6";"570";"0.5"
"103";"Age.Months";"LOC";"V";"3429";"6";"47";"4";"698";"0.5"
"104";"Age.Months";"LOC";"V";"3429";"6";"39";"7";"82";"0.5"
"105";"Age.Months";"LOC";"V";"3429";"6";"39";"8";"53";"0.5"
"106";"Age.Months";"LOC";"V";"3429";"6";"39";"9";"36";"0.5"
"107";"Age.Months";"LOC";"V";"3429";"6";"39";"10";"29";"0.5"
"108";"Age.Months";"LOC";"V";"3429";"6";"39";"11";"18";"0.5"
"109";"Age.Months";"LOC";"V";"3429";"6";"40";"5";"236";"0.5"
"110";"Age.Months";"LOC";"V";"3429";"6";"40";"6";"150";"0.5"
"111";"Age.Months";"LOC";"V";"3429";"6";"40";"7";"91";"0.5"
"112";"Age.Months";"LOC";"V";"3429";"6";"41";"7";"260";"0.5"
"113";"Age.Months";"LOC";"V";"3429";"6";"41";"8";"183";"0.5"
"114";"Age.Months";"LOC";"V";"3429";"6";"41";"9";"138";"0.5"
"115";"Age.Months";"LOC";"V";"3429";"6";"41";"10";"101";"0.5"
"116";"Age.Months";"LOC";"V";"3429";"6";"42";"6";"428";"0.5"
"117";"Age.Months";"LOC";"V";"3429";"6";"42";"7";"302";"0.5"
"118";"Age.Months";"LOC";"V";"3429";"6";"42";"8";"215";"0.5"
"119";"Age.Months";"LOC";"V";"3429";"6";"42";"9";"165";"0.5"
"120";"Age.Months";"LOC";"V";"3429";"6";"44";"4";"459";"0.5"
"121";"Age.Months";"LOC";"V";"3429";"6";"44";"5";"315";"0.5"
"122";"Age.Months";"LOC";"V";"3429";"6";"44";"6";"235";"0.5"
"123";"Age.Months";"LOC";"V";"3429";"6";"42";"10";"121";"0"
"124";"Age.Months";"LOC";"V";"3429";"6";"43";"8";"227";"0.5"
"125";"Age.Months";"LOC";"V";"3429";"6";"43";"9";"171";"0"
"126";"Age.Months";"LOC";"V";"3429";"6";"47";"5";"476";"0"
"127";"Age.Months";"LOC";"V";"3429";"6";"44";"7";"161";"0.5"
"128";"Age.Months";"LOC";"V";"3429";"6";"44";"8";"126";"0"
"129";"Age.Months";"LOC";"V";"3429";"6";"39";"12";"12";"0.5"
"130";"Age.Months";"LOC";"V";"3429";"6";"39";"13";"10";"0"
"131";"Age.Months";"LOC";"V";"3429";"6";"41";"11";"72";"0"
"132";"Age.Months";"LOC";"V";"3429";"6";"21";"4";"44";"0.5"
"133";"Age.Months";"LOC";"V";"3429";"6";"37";"4";"95";"0.5"
"134";"Age.Months";"LOC";"V";"3429";"6";"37";"5";"20";"0.5"
"135";"Age.Months";"LOC";"V";"3429";"6";"19";"4";"13";"0"
"136";"Age.Months";"LOC";"V";"3429";"6";"7";"4";"41";"0"
"137";"Age.Months";"LOC";"V";"3429";"6";"17";"4";"28";"0"
"138";"Age.Months";"LOC";"V";"3429";"6";"18";"4";"17";"0"
"139";"Age.Months";"LOC";"V";"3429";"6";"21";"5";"7";"0"
"140";"Age.Months";"LOC";"V";"3429";"6";"37";"6";"13";"0.5"
"141";"Age.Months";"LOC";"V";"3429";"6";"28";"4";"17";"0"
"142";"Age.Months";"LOC";"V";"3429";"6";"38";"7";"25";"0.5"
"143";"Age.Months";"LOC";"V";"3429";"6";"38";"8";"12";"0.5"
"144";"Age.Months";"LOC";"V";"3429";"6";"40";"8";"57";"0.5"
"145";"Age.Months";"LOC";"V";"3429";"6";"40";"9";"37";"0"
"146";"Age.Months";"LOC";"V";"3429";"6";"40";"10";"26";"0.5"
"147";"Age.Months";"LOC";"V";"3429";"6";"40";"11";"22";"0.5"
"148";"Age.Months";"LOC";"V";"3429";"6";"40";"12";"13";"0"
"149";"Age.Months";"LOC";"V";"3429";"6";"20";"4";"24";"0"
"150";"Age.Months";"LOC";"V";"3429";"6";"27";"4";"5";"0"
"151";"Age.Months";"LOC";"V";"3429";"6";"6";"4";"11";"0"
"152";"Age.Months";"LOC";"V";"3429";"6";"38";"9";"9";"0"
"153";"Age.Months";"LOC";"V";"3429";"6";"5";"4";"7";"0"
"154";"Age.Months";"LOC";"V";"3429";"6";"37";"7";"4";"0"
"155";"Age.Months";"LOC";"V";"346391";"3";"3";"4";"146";"0"
"156";"Age.Months";"LOC";"V";"346391";"4";"2";"4";"775";"0.5"
"157";"Age.Months";"LOC";"V";"346391";"4";"6";"4";"452";"0.5"
"158";"Age.Months";"LOC";"V";"346391";"4";"2";"5";"378";"0.5"
"159";"Age.Months";"LOC";"V";"346391";"4";"3";"4";"825";"1"
"160";"Age.Months";"LOC";"V";"346391";"4";"6";"5";"285";"0.5"
"161";"Age.Months";"LOC";"V";"346391";"4";"6";"6";"193";"0.5"
"162";"Age.Months";"LOC";"V";"346391";"4";"7";"4";"1301";"0.5"
"163";"Age.Months";"LOC";"V";"346391";"4";"7";"5";"792";"0.5"
"164";"Age.Months";"LOC";"V";"346391";"4";"1";"4";"25";"0.5"
"165";"Age.Months";"LOC";"V";"346391";"4";"1";"5";"9";"0"
"166";"Age.Months";"LOC";"V";"346391";"4";"7";"6";"22";"0"
"167";"Age.Months";"LOC";"V";"346391";"4";"6";"7";"4";"0.5"
"168";"Age.Months";"LOC";"V";"346391";"5";"4";"4";"824";"0.5"
"169";"Age.Months";"LOC";"V";"346391";"5";"12";"4";"435";"0.5"
"170";"Age.Months";"LOC";"V";"346391";"5";"4";"5";"485";"0.5"
"171";"Age.Months";"LOC";"V";"346391";"5";"6";"4";"1373";"0.5"
"172";"Age.Months";"LOC";"V";"346391";"5";"6";"5";"700";"0.5"
"173";"Age.Months";"LOC";"V";"346391";"5";"9";"4";"648";"0"
"174";"Age.Months";"LOC";"V";"346391";"5";"12";"5";"279";"0.5"
"175";"Age.Months";"LOC";"V";"346391";"5";"12";"6";"189";"0.5"
"176";"Age.Months";"LOC";"V";"346391";"5";"14";"4";"1301";"0.5"
"177";"Age.Months";"LOC";"V";"346391";"5";"14";"5";"791";"0.5"
"178";"Age.Months";"LOC";"V";"346391";"5";"14";"6";"549";"0.5"
"179";"Age.Months";"LOC";"V";"346391";"5";"1";"4";"13";"1"
"180";"Age.Months";"LOC";"V";"346391";"5";"4";"6";"324";"0.5"
"181";"Age.Months";"LOC";"V";"346391";"5";"4";"7";"206";"0.5"
"182";"Age.Months";"LOC";"V";"346391";"5";"4";"8";"128";"0.5"
"183";"Age.Months";"LOC";"V";"346391";"5";"4";"9";"82";"0"
"184";"Age.Months";"LOC";"V";"346391";"5";"6";"6";"375";"0.5"
"185";"Age.Months";"LOC";"V";"346391";"5";"12";"7";"127";"0.5"
"186";"Age.Months";"LOC";"V";"346391";"5";"12";"8";"101";"0.5"
"187";"Age.Months";"LOC";"V";"346391";"5";"12";"9";"73";"1"
"188";"Age.Months";"LOC";"V";"346391";"5";"12";"10";"53";"0.5"
"189";"Age.Months";"LOC";"V";"346391";"5";"14";"7";"383";"0.5"
"190";"Age.Months";"LOC";"V";"346391";"5";"14";"8";"283";"0.5"
"191";"Age.Months";"LOC";"V";"346391";"5";"14";"9";"204";"0"
"192";"Age.Months";"LOC";"V";"346391";"5";"14";"10";"155";"0"
"193";"Age.Months";"LOC";"V";"346391";"5";"6";"7";"229";"0"
"194";"Age.Months";"LOC";"V";"346391";"5";"3";"4";"298";"0.5"
"195";"Age.Months";"LOC";"V";"346391";"5";"3";"5";"138";"0.5"
"196";"Age.Months";"LOC";"V";"346391";"5";"3";"6";"83";"0.5"
"197";"Age.Months";"LOC";"V";"346391";"5";"3";"7";"61";"0.5"
"198";"Age.Months";"LOC";"V";"346391";"5";"3";"8";"41";"0.5"
"199";"Age.Months";"LOC";"V";"346391";"5";"3";"9";"26";"0"
"200";"Age.Months";"LOC";"V";"346391";"5";"12";"11";"42";"0.5"
"201";"Age.Months";"LOC";"V";"346391";"5";"12";"12";"30";"0"
"202";"Age.Months";"LOC";"V";"346391";"5";"3";"10";"13";"0"
"203";"Age.Months";"LOC";"V";"4673";"3";"2";"4";"253";"0"
"204";"Age.Months";"LOC";"V";"4673";"3";"1";"4";"15";"0.5"
"205";"Age.Months";"LOC";"V";"4673";"3";"1";"5";"4";"0"
"206";"Age.Months";"LOC";"V";"4673";"4";"4";"4";"617";"0.5"
"207";"Age.Months";"LOC";"V";"4673";"4";"3";"4";"850";"0.5"
"208";"Age.Months";"LOC";"V";"4673";"4";"3";"5";"394";"0.5"
"209";"Age.Months";"LOC";"V";"4673";"4";"3";"6";"269";"0.5"
"210";"Age.Months";"LOC";"V";"4673";"4";"3";"7";"166";"0.5"
"211";"Age.Months";"LOC";"V";"4673";"4";"4";"5";"376";"0.5"
"212";"Age.Months";"LOC";"V";"4673";"4";"4";"6";"222";"0.5"
"213";"Age.Months";"LOC";"V";"4673";"4";"6";"4";"132";"0.5"
"214";"Age.Months";"LOC";"V";"4673";"4";"2";"4";"244";"0.5"
"215";"Age.Months";"LOC";"V";"4673";"4";"2";"5";"98";"0.5"
"216";"Age.Months";"LOC";"V";"4673";"4";"4";"7";"7";"0"
"217";"Age.Months";"LOC";"V";"4673";"4";"5";"4";"91";"0.5"
"218";"Age.Months";"LOC";"V";"4673";"4";"5";"5";"51";"0"
"219";"Age.Months";"LOC";"V";"4673";"4";"2";"6";"39";"0.5"
"220";"Age.Months";"LOC";"V";"4673";"4";"2";"7";"23";"0.5"
"221";"Age.Months";"LOC";"V";"4673";"4";"2";"8";"9";"0.5"
"222";"Age.Months";"LOC";"V";"4673";"4";"6";"5";"12";"0"
"223";"Age.Months";"LOC";"V";"4673";"4";"3";"8";"4";"0.5"
"224";"Age.Months";"LOC";"V";"4673";"4";"1";"4";"6";"0"
"225";"Age.Months";"LOC";"V";"4673";"5";"7";"4";"1220";"0.5"
"226";"Age.Months";"LOC";"V";"4673";"5";"6";"4";"809";"0.5"
"227";"Age.Months";"LOC";"V";"4673";"5";"6";"5";"442";"0.5"
"228";"Age.Months";"LOC";"V";"4673";"5";"6";"6";"281";"0.5"
"229";"Age.Months";"LOC";"V";"4673";"5";"6";"7";"177";"0.5"
"230";"Age.Months";"LOC";"V";"4673";"5";"7";"5";"737";"0.5"
"231";"Age.Months";"LOC";"V";"4673";"5";"7";"6";"491";"0.5"
"232";"Age.Months";"LOC";"V";"4673";"5";"12";"4";"211";"0.5"
"233";"Age.Months";"LOC";"V";"4673";"5";"17";"4";"70";"0.5"
"234";"Age.Months";"LOC";"V";"4673";"5";"6";"8";"116";"0.5"
"235";"Age.Months";"LOC";"V";"4673";"5";"6";"9";"84";"0"
"236";"Age.Months";"LOC";"V";"4673";"5";"6";"10";"61";"0.5"
"237";"Age.Months";"LOC";"V";"4673";"5";"6";"11";"49";"0.5"
"238";"Age.Months";"LOC";"V";"4673";"5";"6";"12";"40";"0.5"
"239";"Age.Months";"LOC";"V";"4673";"5";"6";"13";"19";"0.5"
"240";"Age.Months";"LOC";"V";"4673";"5";"6";"14";"6";"0.5"
"241";"Age.Months";"LOC";"V";"4673";"5";"7";"7";"187";"0.5"
"242";"Age.Months";"LOC";"V";"4673";"5";"7";"8";"129";"0.5"
"243";"Age.Months";"LOC";"V";"4673";"5";"7";"9";"92";"0"
"244";"Age.Months";"LOC";"V";"4673";"5";"7";"10";"68";"0.5"
"245";"Age.Months";"LOC";"V";"4673";"5";"7";"11";"53";"0.5"
"246";"Age.Months";"LOC";"V";"4673";"5";"7";"12";"26";"0.5"
"247";"Age.Months";"LOC";"V";"4673";"5";"10";"4";"212";"0.5"
"248";"Age.Months";"LOC";"V";"4673";"5";"10";"5";"143";"0.5"
"249";"Age.Months";"LOC";"V";"4673";"5";"10";"6";"107";"0.5"
"250";"Age.Months";"LOC";"V";"4673";"5";"10";"7";"80";"0.5"
"251";"Age.Months";"LOC";"V";"4673";"5";"10";"8";"60";"0.5"
"252";"Age.Months";"LOC";"V";"4673";"5";"10";"9";"24";"0.5"
"253";"Age.Months";"LOC";"V";"4673";"5";"12";"5";"139";"0.5"
"254";"Age.Months";"LOC";"V";"4673";"5";"12";"6";"100";"0.5"
"255";"Age.Months";"LOC";"V";"4673";"5";"12";"7";"47";"0.5"
"256";"Age.Months";"LOC";"V";"4673";"5";"4";"4";"17";"0.5"
"257";"Age.Months";"LOC";"V";"4673";"5";"12";"8";"6";"0.5"
"258";"Age.Months";"LOC";"V";"4673";"5";"11";"4";"58";"0.5"
"259";"Age.Months";"LOC";"V";"4673";"5";"11";"5";"45";"0.5"
"260";"Age.Months";"LOC";"V";"4673";"5";"11";"6";"35";"0.5"
"261";"Age.Months";"LOC";"V";"4673";"5";"11";"7";"29";"0.5"
"262";"Age.Months";"LOC";"V";"4673";"5";"11";"8";"17";"0.5"
"263";"Age.Months";"LOC";"V";"4673";"5";"5";"4";"7";"0"
"264";"Age.Months";"LOC";"V";"4673";"5";"3";"4";"7";"0"
"265";"Age.Months";"LOC";"V";"4673";"5";"1";"4";"4";"0"
"266";"Age.Months";"LOC";"V";"4673";"5";"2";"4";"4";"0"
"267";"Age.Months";"LOC";"V";"4673";"5";"4";"5";"4";"0"
"268";"Age.Months";"LOC";"V";"4673";"6";"9";"4";"18";"0.5"
"269";"Age.Months";"LOC";"V";"4673";"6";"14";"4";"1042";"0.5"
"270";"Age.Months";"LOC";"V";"4673";"6";"15";"4";"1511";"0.5"
"271";"Age.Months";"LOC";"V";"4673";"6";"12";"4";"442";"0.5"
"272";"Age.Months";"LOC";"V";"4673";"6";"12";"5";"178";"0.5"
"273";"Age.Months";"LOC";"V";"4673";"6";"14";"5";"621";"0.5"
"274";"Age.Months";"LOC";"V";"4673";"6";"14";"6";"418";"0.5"
"275";"Age.Months";"LOC";"V";"4673";"6";"14";"7";"284";"0.5"
"276";"Age.Months";"LOC";"V";"4673";"6";"15";"5";"973";"0.5"
"277";"Age.Months";"LOC";"V";"4673";"6";"15";"6";"683";"0.5"
"278";"Age.Months";"LOC";"V";"4673";"6";"15";"7";"483";"0.5"
"279";"Age.Months";"LOC";"V";"4673";"6";"23";"4";"415";"0.5"
"280";"Age.Months";"LOC";"V";"4673";"6";"23";"5";"258";"0.5"
"281";"Age.Months";"LOC";"V";"4673";"6";"23";"6";"185";"0.5"
"282";"Age.Months";"LOC";"V";"4673";"6";"23";"7";"116";"0.5"
"283";"Age.Months";"LOC";"V";"4673";"6";"24";"4";"195";"0.5"
"284";"Age.Months";"LOC";"V";"4673";"6";"36";"4";"110";"0.5"
"285";"Age.Months";"LOC";"V";"4673";"6";"37";"4";"186";"0.5"
"286";"Age.Months";"LOC";"V";"4673";"6";"5";"4";"105";"0.5"
"287";"Age.Months";"LOC";"V";"4673";"6";"14";"8";"211";"0.5"
"288";"Age.Months";"LOC";"V";"4673";"6";"14";"9";"151";"0.5"
"289";"Age.Months";"LOC";"V";"4673";"6";"14";"10";"111";"0.5"
"290";"Age.Months";"LOC";"V";"4673";"6";"14";"11";"69";"0.5"
"291";"Age.Months";"LOC";"V";"4673";"6";"14";"12";"37";"0.5"
"292";"Age.Months";"LOC";"V";"4673";"6";"14";"13";"23";"0.5"
"293";"Age.Months";"LOC";"V";"4673";"6";"14";"14";"16";"0.5"
"294";"Age.Months";"LOC";"V";"4673";"6";"14";"15";"12";"0.5"
"295";"Age.Months";"LOC";"V";"4673";"6";"15";"8";"359";"0.5"
"296";"Age.Months";"LOC";"V";"4673";"6";"15";"9";"135";"0.5"
"297";"Age.Months";"LOC";"V";"4673";"6";"22";"4";"272";"0.5"
"298";"Age.Months";"LOC";"V";"4673";"6";"22";"5";"188";"0.5"
"299";"Age.Months";"LOC";"V";"4673";"6";"22";"6";"140";"0.5"
"300";"Age.Months";"LOC";"V";"4673";"6";"22";"7";"97";"0.5"
"301";"Age.Months";"LOC";"V";"4673";"6";"22";"8";"71";"0.5"
"302";"Age.Months";"LOC";"V";"4673";"6";"22";"9";"52";"0.5"
"303";"Age.Months";"LOC";"V";"4673";"6";"24";"5";"126";"0.5"
"304";"Age.Months";"LOC";"V";"4673";"6";"24";"6";"93";"0.5"
"305";"Age.Months";"LOC";"V";"4673";"6";"24";"7";"66";"0.5"
"306";"Age.Months";"LOC";"V";"4673";"6";"35";"4";"13";"0.5"
"307";"Age.Months";"LOC";"V";"4673";"6";"35";"5";"7";"0.5"
"308";"Age.Months";"LOC";"V";"4673";"6";"36";"5";"77";"0.5"
"309";"Age.Months";"LOC";"V";"4673";"6";"36";"6";"58";"0"
"310";"Age.Months";"LOC";"V";"4673";"6";"37";"5";"121";"0.5"
"311";"Age.Months";"LOC";"V";"4673";"6";"4";"4";"19";"0.5"
"312";"Age.Months";"LOC";"V";"4673";"6";"4";"5";"14";"0"
"313";"Age.Months";"LOC";"V";"4673";"6";"13";"4";"629";"0.5"
"314";"Age.Months";"LOC";"V";"4673";"6";"13";"5";"356";"0.5"
"315";"Age.Months";"LOC";"V";"4673";"6";"12";"6";"103";"0.5"
"316";"Age.Months";"LOC";"V";"4673";"6";"6";"4";"27";"0"
"317";"Age.Months";"LOC";"V";"4673";"6";"3";"4";"5";"0"
"318";"Age.Months";"LOC";"V";"4673";"6";"8";"4";"42";"0"
"319";"Age.Months";"LOC";"V";"4673";"6";"13";"6";"228";"0.5"
"320";"Age.Months";"LOC";"V";"4673";"6";"24";"8";"46";"0.5"
"321";"Age.Months";"LOC";"V";"4673";"6";"24";"9";"33";"0"
"322";"Age.Months";"LOC";"V";"4673";"6";"24";"10";"23";"0.5"
"323";"Age.Months";"LOC";"V";"4673";"6";"24";"11";"19";"0.5"
"324";"Age.Months";"LOC";"V";"4673";"6";"24";"12";"15";"0.5"
"325";"Age.Months";"LOC";"V";"4673";"6";"24";"13";"10";"0.5"
"326";"Age.Months";"LOC";"V";"4673";"6";"24";"14";"6";"0"
"327";"Age.Months";"LOC";"V";"4673";"6";"12";"7";"63";"0.5"
"328";"Age.Months";"LOC";"V";"4673";"6";"12";"8";"36";"0.5"
"329";"Age.Months";"LOC";"V";"4673";"6";"12";"9";"25";"0"
"330";"Age.Months";"LOC";"V";"4673";"6";"13";"7";"156";"0.5"
"331";"Age.Months";"LOC";"V";"4673";"6";"13";"8";"103";"0.5"
"332";"Age.Months";"LOC";"V";"4673";"6";"13";"9";"73";"0"
"333";"Age.Months";"LOC";"V";"4673";"6";"13";"10";"55";"0.5"
"334";"Age.Months";"LOC";"V";"4673";"6";"13";"11";"44";"0.5"
"335";"Age.Months";"LOC";"V";"4673";"6";"13";"12";"36";"0.5"
"336";"Age.Months";"LOC";"V";"4673";"6";"13";"13";"24";"0.5"
"337";"Age.Months";"LOC";"V";"4673";"6";"7";"4";"30";"0.5"
"338";"Age.Months";"LOC";"V";"4673";"6";"23";"8";"78";"0.5"
"339";"Age.Months";"LOC";"V";"4673";"6";"11";"4";"11";"0.5"
"340";"Age.Months";"LOC";"V";"4673";"6";"11";"5";"4";"0"
"341";"Age.Months";"LOC";"V";"4673";"6";"5";"5";"7";"0"
"342";"Age.Months";"LOC";"V";"4673";"6";"12";"10";"17";"0.5"
"343";"Age.Months";"LOC";"V";"4673";"6";"15";"10";"34";"0.5"
"344";"Age.Months";"LOC";"V";"4673";"6";"22";"10";"42";"0.5"
"345";"Age.Months";"LOC";"V";"4673";"6";"23";"9";"64";"0"
"346";"Age.Months";"LOC";"V";"4673";"6";"23";"10";"53";"0.5"
"347";"Age.Months";"LOC";"V";"4673";"6";"23";"11";"45";"0.5"
"348";"Age.Months";"LOC";"V";"4673";"6";"7";"5";"4";"0"
"349";"Age.Months";"LOC";"V";"4673";"6";"22";"11";"34";"0.5"
"350";"Age.Months";"LOC";"V";"4673";"6";"22";"12";"25";"0.5"
"351";"Age.Months";"LOC";"V";"4673";"6";"22";"13";"19";"0.5"
"352";"Age.Months";"LOC";"V";"4673";"6";"22";"14";"13";"0.5"
